ms,g
109,-51.6437
197,-61.9719
264,-249.7175
373,-528.7417
459,-856.3808
536,-1169.1673
610,-1403.6295
738,-1572.7859
826,-1636.5799
919,-1586.1593
1002,-1429.5527
1087,-1193.0987
1178,-891.3416
1246,-554.6126
1343,-264.7449
1450,-69.6248
1509,-20.8674
1641,-0.1523
1728,6.0108
1815,-0.7304
1882,-4.1875
1962,6.685
2054,-2.2904
2152,5.6239
2235,-1.8672
2350,-1.867
2421,6.3084
2509,-2.5885
2622,-4.823
2686,5.1081
2805,7.0498
2862,-0.3412
2983,-6.8518
